filename Fx Fy Fz Ft Fn
0.jpg 0.50 -0.30 18.60 0.58 18.60
1.jpg 0.40 -0.30 18.50 0.50 18.50
2.jpg 0.50 -0.60 19.20 0.78 19.20
3.jpg 0.30 -0.40 19.50 0.50 19.50
4.jpg 0.30 -0.50 19.30 0.58 19.30
5.jpg 0.20 -0.20 19.10 0.28 19.10
6.jpg 0.40 -0.40 19.30 0.57 19.30
7.jpg 0.30 -0.70 18.80 0.76 18.80
8.jpg 0.30 -0.70 18.30 0.76 18.30
9.jpg 0.10 -1.20 17.60 1.20 17.60
10.jpg 0.00 -1.20 16.40 1.20 16.40
11.jpg 0.00 -1.40 15.70 1.40 15.70
12.jpg -0.10 1.30 20.10 1.30 20.10
13.jpg 0.20 1.40 21.30 1.41 21.30
14.jpg 0.20 1.50 21.80 1.51 21.80
15.jpg 0.10 1.40 22.30 1.40 22.30
16.jpg -0.30 1.50 22.10 1.53 22.10
17.jpg 0.00 0.00 22.40 0.00 22.40
18.jpg -0.60 0.40 21.60 0.72 21.60
19.jpg -0.90 0.20 22.20 0.92 22.20
20.jpg -0.70 -0.10 22.40 0.71 22.40
21.jpg -0.90 0.30 22.20 0.95 22.20
22.jpg -0.90 -0.40 21.30 0.98 21.30
23.jpg -0.90 -1.30 20.20 1.58 20.20
24.jpg -0.90 -2.00 18.80 2.19 18.80
25.jpg -1.00 -1.90 10.40 2.15 10.40
26.jpg -0.30 -0.20 1.20 0.36 1.20
27.jpg -0.20 0.20 -0.10 0.28 -0.10
28.jpg 0.00 0.00 -0.00 0.00 -0.00
29.jpg -0.40 0.70 28.30 0.81 28.30
30.jpg -0.60 0.60 29.20 0.85 29.20
31.jpg -0.70 0.90 29.80 1.14 29.80
32.jpg -0.90 1.20 29.30 1.50 29.30
33.jpg -1.00 1.80 29.40 2.06 29.40
34.jpg -1.10 1.80 28.70 2.11 28.70
35.jpg -0.70 1.40 27.50 1.57 27.50
36.jpg -0.80 1.10 27.80 1.36 27.80
37.jpg -1.20 0.60 27.40 1.34 27.40
38.jpg -1.10 0.00 27.40 1.10 27.40
39.jpg -0.90 -0.40 27.20 0.98 27.20
40.jpg -1.10 -0.40 26.60 1.17 26.60
41.jpg -1.30 -0.60 26.00 1.43 26.00
42.jpg -1.00 -0.60 24.90 1.17 24.90
43.jpg -1.10 -0.50 24.50 1.21 24.50
44.jpg -1.20 -1.00 24.10 1.56 24.10
45.jpg -1.20 -1.10 22.00 1.63 22.00
46.jpg -0.40 -1.60 18.70 1.65 18.70
47.jpg -0.40 -1.70 11.20 1.75 11.20
48.jpg 1.30 0.50 30.80 1.39 30.80
49.jpg 1.20 0.60 31.70 1.34 31.70
50.jpg 0.40 0.30 32.20 0.50 32.20
51.jpg 0.30 -0.40 33.20 0.50 33.20
52.jpg 0.00 -0.80 33.60 0.80 33.60
53.jpg 0.30 -1.30 34.00 1.33 34.00
54.jpg 0.10 -1.60 34.30 1.60 34.30
55.jpg 0.00 -1.30 34.30 1.30 34.30
56.jpg -0.80 -1.90 35.80 2.06 35.80
57.jpg -0.60 -1.60 35.40 1.71 35.40
58.jpg -1.00 -1.40 34.20 1.72 34.20
59.jpg -0.60 -1.70 33.50 1.80 33.50
60.jpg -0.70 -2.10 32.00 2.21 32.00
61.jpg -0.40 -3.50 29.30 3.52 29.30
62.jpg 0.40 -5.70 21.30 5.71 21.30
63.jpg 0.00 -0.80 2.20 0.80 2.20
64.jpg 0.10 -0.10 0.10 0.14 0.10
65.jpg 0.00 0.10 -0.00 0.10 -0.00
66.jpg -1.50 0.50 21.30 1.58 21.30
67.jpg -1.70 1.10 23.40 2.02 23.40
68.jpg -1.30 0.10 27.20 1.30 27.20
69.jpg -1.50 0.20 30.80 1.51 30.80
70.jpg -1.30 0.10 32.50 1.30 32.50
71.jpg -1.30 1.00 33.80 1.64 33.80
72.jpg -1.10 -0.40 34.30 1.17 34.30
73.jpg -1.80 -0.60 32.90 1.90 32.90
74.jpg -1.80 -0.30 32.90 1.82 32.90
75.jpg -1.80 -0.50 33.20 1.87 33.20
76.jpg -1.40 -0.10 33.70 1.40 33.70
77.jpg -1.60 -0.40 33.10 1.65 33.10
78.jpg -1.60 -1.10 32.50 1.94 32.50
79.jpg -1.70 -2.10 30.60 2.70 30.60
80.jpg -1.40 -3.50 29.70 3.77 29.70
81.jpg -1.20 -3.60 26.30 3.79 26.30
82.jpg -1.20 -3.30 23.60 3.51 23.60
83.jpg -1.00 -1.60 12.60 1.89 12.60
84.jpg -0.40 -0.20 5.30 0.45 5.30
85.jpg 1.70 1.00 29.90 1.97 29.90
86.jpg 1.80 0.70 30.50 1.93 30.50
87.jpg 1.20 1.40 29.90 1.84 29.90
88.jpg 1.10 1.30 30.00 1.70 30.00
89.jpg 0.70 0.90 28.80 1.14 28.80
90.jpg 0.30 0.90 28.20 0.95 28.20
91.jpg -0.20 0.80 29.00 0.82 29.00
92.jpg 0.00 0.80 28.70 0.80 28.70
93.jpg -0.20 0.00 27.90 0.20 27.90
94.jpg -0.70 -0.50 27.00 0.86 27.00
95.jpg -1.00 -1.10 25.00 1.49 25.00
96.jpg -0.60 -1.60 24.40 1.71 24.40
97.jpg -0.90 -1.80 23.50 2.01 23.50
98.jpg -0.10 -4.70 30.40 4.70 30.40
99.jpg -0.30 -4.70 30.40 4.71 30.40
100.jpg -0.20 -4.60 30.00 4.60 30.00
101.jpg -0.40 -4.20 30.20 4.22 30.20
102.jpg -0.30 -4.30 30.40 4.31 30.40
103.jpg 0.00 -4.50 30.20 4.50 30.20
104.jpg -0.30 -3.70 29.50 3.71 29.50
105.jpg -0.40 -3.00 29.40 3.03 29.40
106.jpg -0.30 -3.00 28.80 3.01 28.80
107.jpg -0.40 -2.90 28.10 2.93 28.10
108.jpg -0.60 -2.60 27.30 2.67 27.30
109.jpg -0.60 -2.30 26.70 2.38 26.70
110.jpg -0.30 -2.40 26.10 2.42 26.10
111.jpg -0.40 -2.40 25.20 2.43 25.20
112.jpg -0.20 -2.50 23.40 2.51 23.40
113.jpg -0.40 -2.20 21.70 2.24 21.70
114.jpg -0.10 0.30 24.00 0.32 24.00
115.jpg -0.10 0.80 25.60 0.81 25.60
116.jpg 0.00 0.70 26.90 0.70 26.90
117.jpg 0.10 0.80 27.80 0.81 27.80
118.jpg -0.20 1.30 28.30 1.32 28.30
119.jpg 0.20 1.30 29.00 1.32 29.00
120.jpg 0.00 1.20 29.20 1.20 29.20
121.jpg -0.30 1.70 29.60 1.73 29.60
122.jpg -0.10 1.70 29.70 1.70 29.70
123.jpg -0.40 1.70 29.50 1.75 29.50
124.jpg -0.30 1.50 29.40 1.53 29.40
125.jpg -0.50 1.20 29.50 1.30 29.50
126.jpg -0.60 0.60 29.20 0.85 29.20
127.jpg -0.70 0.20 28.30 0.73 28.30
